mkb_codes;name;frequency_visits;controlled_indicators;duration_observation;note
Z95.0;Наличие искусственного водителя сердечного ритма;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
ЭКГ (не реже 2 раз в год)
рентгенография органов грудной клетки (не реже 1 раз в год)
ЭхоКГ (не реже 1 раза в год)
мониторирование ЭКГ (не реже 1 раза в год)
тестирование работы имплантируемого электронного устройства (1 раз в течение 6 мес. после имплантации, далее - не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: жизнеугрожающие формы нарушений сердечного ритма и проводимости, пароксизмальная тахикардия, фибрилляция и трепетание предсердий в сочетании с сахарным диабетом и (или) хронической болезнью почек C4 и выше стадии и (или) высоким риском кровотечений в связи с другими заболеваниями и (или) состояниями, наличие имплантируемого электронного устройства, катетерная аблация по поводу сердечно-сосудистых заболеваний
I50;Сердечная недостаточность;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 2 раз в год)
клинический анализ крови (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
NT-proBNP (не реже 1 раза в 2 года)
ЭКГ (не реже 1 раза в год)
рентгенография органов грудной клетки (не реже 1 раза в год)
ЭхоКГ (не реже 2 раз в год)
мониторирование ЭКГ (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах: хроническая сердечная недостаточность 2Б - 3 стадии и (или) с фракцией выброса <14> левого желудочка < 40% и (или) III - IV функционального класса по классификации Нью-Йоркской ассоциации сердца (NYHA, 1964), хроническая сердечная недостаточность 1 - 2a стадии и I - II функционального класса по классификации Нью-Йоркской ассоциации сердца (NYHA, 1964) и ФВ >= 40% в сочетании с сахарным диабетом и (или) хронической болезнью почек 4 и 5 стадии
I65.2;Закупорка и стеноз сонной артерии;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
ЭКГ (не реже 1 раз в год)
дуплексное сканирование брахиоцефальных артерий (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах:
стеноз внутренней сонной артерии от 40% при сочетании с ишемической болезнью сердца и симптомным атеросклеротическим поражением периферических артерий или артерий другого сосудистого русла"
E78;Нарушения обмена липопротеинов и другие липидемии;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом СКФ) (не реже 1 раза в год)
клинический анализ крови (не реже 1 раза в год)
ХС-ЛПНП и триглицериды (не реже 2 раз в год)
ЭКГ (не реже 1 раза в год)
дуплексное сканирование брахиоцефальных артерий (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-кардиологом осуществляется при следующих заболеваниях, состояниях, функциональных расстройствах:
тяжелая дислипидемия (общий холестерин сыворотки > 8,0 ммоль/л и (или) ХС-ЛПНП > 5,0 ммоль/л и (или) триглицериды > 10 ммоль/л) и (или) подозрение на непереносимость гиполипидемической терапии ввиду развития побочных эффектов или недостаточная ее эффективность и (или) ранний анамнез сердечно-сосудистых заболеваний (до 50 лет), в том числе после реваскуляризации вследствие атеросклеротического поражения сосудистого русла"
Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28;Врожденные аномалии (пороки развития) системы кровообращения (Состояние после оперативного лечения врожденных аномалий [пороков развития] системы кровообращения);В соответствии с клиническими рекомендациями, но не реже 1 раза в год (при кодах Q21.3, Q22.4, Q22.5 - не реже 2 раз в год);ЭхоКГ (не реже 1 раз в год);"Не менее 5 лет при кодах Q21.0, Q21.1, Q21.4. после оперативного лечения
Пожизненно при других кодах в группе";Прием (осмотр, консультация) врача сердечно-сосудистого хирурга при отклонении соответствующих контролируемых показателей по данным ЭхоКГ
B18.0, B18.1, B18.2;Хронический вирусный гепатит B и (или) хронический вирусный гепатит C;В соответствии с клиническими рекомендациями, но не реже 1 раза в 12 месяцев для пациентов без фиброза или цирроза печени и не реже 1 раза в 6 месяцев для пациентов с тяжелым фиброзом или циррозом печени;"Отсутствие прогрессирования по данным ультразвукового исследования <2> или магнитно-резонансной томографии <3>
повышение уровня альфа-фетопротеина <4> крови";Пожизненно или до выявления/лечения гепатоцеллюлярной карциномы;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения уровня АФП сыворотки крови отличающиеся от референсных значений, появление или увеличение размеров дополнительных объемных образований в паренхиме печени)
B20, B21, B22, B23, B24;Болезнь, вызванная вирусом иммунодефицита человека (ВИЧ);Наблюдение врачом-инфекционистом в соответствии с клиническими рекомендациями по вопросам оказания медицинской помощи при ВИЧ-инфекции;Контроль лабораторных показателей в соответствии с клиническими рекомендациями по вопросам оказания медицинской помощи при ВИЧ-инфекции;Пожизненно;"Прием (осмотр, консультация) врача-онколога 1 раз в год.
У женщин при 3 стадии и количестве CD4+ клеток 200 и более на мкл - 1 раз в год консультация врача - акушера-гинеколога, при других стадиях и количестве CD4+ клеток менее 200 на мл - консультация врача - акушера-гинеколога 1 раз в 6 месяцев"
E34.8, D13.7, D35.0, D35.1, D35.2  D35.8;Множественный эндокринный аденоматоз, тип I (МЭА-I, синдром Вернера) (Синдром множественной эндокринной неоплазии 1 типа (МЭН I));В соответствии с клиническими рекомендациями, но не реже 1 раза в год. При стойкой ремиссии увеличение интервала до 3 - 5 лет;"Уровень глюкозы, инсулина, пролактина, инсулиноподобного фактора роста-1 крови, хромогранина A, глюкагона, гастрина вазоинтестинального полипептида, панкреатического полипептида крови, паратиреоидного гормона, кальция (общий и ионизированный), фосфора крови
уровень кальция мочи
отсутствие структурных изменений паращитовидных желез, поджелудочной железы, надпочечников
отсутствие объемных образований по данным МРТ гипофиза, УЗИ шеи, УЗИ органов брюшной полости
отсутствие данных о ЗНО по результатам эзофагогастродуоденоскопии с биопсией";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения злокачественного новообразования <5>;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям (атипия клеток в пунктате) (TIRADS >= 4, и (или) наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III).
Дисплазия или аденокарцинома по результатам ЭГДС с множественной биопсией, изменения уровня, хромогранина A, глюкагона, гастрина вазоинтестинального полипептида, панкреатического полипептида крови, паратиреоидного гормона, кальция (общего и ионизированного), фосфора крови, кальция мочи отличающиеся от референсных значений)"
D44.8, D35.0, D35.1 D35.8;"Множественная эндокринная неоплазия: тип 2A (Синдром Сиппла)
тип 2B (Синдром Горлина)";В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Исключение ЗНО щитовидной железы, паращитовидных желез
уровень гормонов щитовидной железы (согласно клиническим рекомендациям) и паратиреоидного гормона
уровень кальцитонина крови, хромогранина A
уровень метанефринов и норметанефринов суточной мочи или крови";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (TIRADS >= 4, и (или) наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III), изменение уровня гормонов щитовидной железы (согласно клиническим рекомендациям) и паратиреоидного гормона, кальцитонина крови, раковоэмбриональный антиген <6>, хромогранина A, метанефринов и норметанефринов суточной мочи или крови отличающиеся от референсных значений), кальция крови, скорректированного по альбумину или ионизированного, отличающиеся от референсных значений, наличие объемных образований по результатам УЗИ шеи, компьютерной томографии <7> или МРТ надпочечников
E34.5;Группа заболеваний с нарушением формирования пола (варианты дисгенезии гонад и синдромов резистентности к андрогенам);В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений по данным УЗИ органов малого таза, УЗИ органов мошонки (яички), МРТ органов малого таза по показаниям
уровень АФП, бета хорионического гормона, <8>, уровень лактатдегидрогеназы крови <9>";До момента удаления гонад (при наличии показаний);Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменение уровня АФП, ХГЧ, ЛДГ в крови отличающиеся от референсных значений, наличие объемных образований по данным УЗИ)
E22.0;Акромегалия;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие данных о ЗНО по результатам колоноскопии с множественной биопсией
отсутствие объемных образований щитовидной железы по данным УЗИ и молочных желез по данным УЗИ и маммографии";Пожизненно;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии, наличие объемных образований щитовидной железы по данным УЗИ и молочных желез по данным УЗИ и маммографии).
При семейном полипозе толстой кишки - решение вопроса о выполнении профилактической колэктомии"
E04.1;Нетоксический одноузловой зоб;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений ткани/ложа щитовидной железы по данным УЗИ
уровень тиреотропного гормона в крови (согласно клиническим рекомендациям)
уровень кальцитонина в сыворотке крови при первичном обращении
отсутствие данных о ЗНО по результатам пункционной биопсии с цитологическим или морфологическим исследованием
цитологическая/морфологическая повторная верификация при изменении признаков риска по данным УЗИ";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям, TIRADS >= 4 и/или наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III), повышение кальцитонина крови у женщин более 10 пг/мл, у мужчин более 15 пг/мл.
E04.2;Нетоксический многоузловой зоб;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений ткани/ложа щитовидной железы по данным УЗИ
уровень тиреотропного гормона в крови (согласно клиническим рекомендациям)
уровень кальцитонина в сыворотке крови при первичном обращении
отсутствие данных о ЗНО по результатам пункционной биопсии с цитологическим или морфологическим исследованием
цитологическая/морфологическая повторная верификация при изменении признаков риска по данным УЗИ";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям, TIRADS >= 4 и/или наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III), повышение кальцитонина крови у женщин более 10 пг/мл, у мужчин более 15 пг/мл.
E05.1;Тиреотоксикоз с токсическим одноузловым зобом;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений ткани/ложа щитовидной железы по данным УЗИ
уровень тиреотропного гормона в крови (согласно клиническим рекомендациям)
уровень кальцитонина в сыворотке крови при первичном обращении
отсутствие данных о ЗНО по результатам пункционной биопсии с цитологическим или морфологическим исследованием
цитологическая/морфологическая повторная верификация при изменении признаков риска по данным УЗИ";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям, TIRADS >= 4 и/или наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III), повышение кальцитонина крови у женщин более 10 пг/мл, у мужчин более 15 пг/мл.
E05.2;Тиреотоксикоз с токсическим многоузловым зобом;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений ткани/ложа щитовидной железы по данным УЗИ
уровень тиреотропного гормона в крови (согласно клиническим рекомендациям)
уровень кальцитонина в сыворотке крови при первичном обращении
отсутствие данных о ЗНО по результатам пункционной биопсии с цитологическим или морфологическим исследованием
цитологическая/морфологическая повторная верификация при изменении признаков риска по данным УЗИ";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям, TIRADS >= 4 и/или наличие атипии клеток по результатам цитологического исследования пунктата (Bethesda >= III), повышение кальцитонина крови у женщин более 10 пг/мл, у мужчин более 15 пг/мл.
D35.1;Аденома паращитовидной железы.;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Оценка размеров образования паращитовидной железы при УЗИ
уровень кальция, (скорректированный на альбумин), фосфора, креатинина и паратгормона в сыворотке крови
сцинтиграфия с технецием [99mTc] сестамиби (по показаниям)
денситометрия (по показаниям)";Без хирургического лечения - пожизненно. После хирургического лечения - не менее 5 лет после операции.;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям: уровень общего кальция, скорректированного на альбумин > 3 ммоль/л, размер опухоли > 3 см.
Морфологическая картина атипической аденомы по данным послеоперационного гистологического исследования.
Множественные аденомы паращитовидных желез (синдром МЭН1, МЭН2А и др.)"
E21.0;Первичный гиперпаратиреоз;;"Оценка размеров образования паращитовидной железы при УЗИ
уровень кальция, (скорректированный на альбумин), фосфора, креатинина и паратгормона в сыворотке крови
сцинтиграфия с технецием [99mTc] сестамиби (по показаниям)
денситометрия (по показаниям)";Без хирургического лечения - пожизненно. После хирургического лечения - не менее 5 лет после операции.;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям: уровень общего кальция, скорректированного на альбумин > 3 ммоль/л, размер опухоли > 3 см.
Морфологическая картина атипической аденомы по данным послеоперационного гистологического исследования.
Множественные аденомы паращитовидных желез (синдром МЭН1, МЭН2А и др.)"
D35.0;Аденома надпочечника;В соответствии с клиническими рекомендациями, но не реже раза в 2 года;"Оценка размеров образования надпочечника и характер накопления и вымывания контрастного вещества (при компьютерной томографии или МРТ)
уровень калия, натрия, глюкозы. АД
проба с дексаметазоном 1 мг. (Нор) метанефрины в суточной моче или плазме крови
при артериальной гипертензии - уровень альдостерона и ренина";Не менее 5 лет при гормонально неактивных инциденталомах надпочечника. В остальных случаях не менее 10 лет или до хирургического лечения.;"Прием (осмотр, консультация) врача-онколога по медицинским показаниям: размер опухоли > 4 см.
Подозрение на ЗНО надпочечника по данным компьютерной томографии с контрастом (высокая нативная плотность - более 20 ЕД Н и низкое выведение контраста).
Морфологическая картина феохромоцитомы, адренокортикального рака или метастаза в надпочечник по данным послеоперационного гистологического исследования"
Q85.1;Туберозный склероз;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие объемных образований по данным МРТ головного мозга;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие объемных образований по данным МРТ)
D11;Доброкачественное новообразование больших слюнных желез;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений ткани больших слюнных желез по данным осмотра и УЗИ
отсутствие данных о ЗНО по результатам пункции/биопсии больших слюнных желез";Пожизненно или до хирургического лечения при отсутствии патолого-анатомического подтверждения ЗНО;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, наличие данных за злокачественный процесс по результатам пункции/биопсии)
Q78.1;Полиостозная фиброзная дисплазия;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования: появление и (или) увеличение структурных изменений костной ткани
отсутствие данных о ЗНО по результатам биопсии";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (признаки атипии по данным морфологического исследования и (или) изменение клинических параметров образования)
D30.3;Папилломы, полипы мочевого пузыря;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие ультразвуковых признаков роста образования по результатам УЗИ органов малого таза
отсутствие данных о ЗНО по результатам цистоскопии с биопсией";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, наличие данных за злокачественный процесс по результатам пункции/биопсии)
D30.4;Папилломы, полипы мочеиспускательного канала;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие ультразвуковых признаков роста образования по результатам УЗИ органов малого таз
отсутствие данных о ЗНО по результатам уретероскопии с биопсией";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, наличие данных за злокачественный процесс по результатам пункции/биопсии)
N 48.0;Лейкоплакия полового члена;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений при физикальном осмотре с контролем размеров, структуры, толщины очага лейкоплакии
отсутствие данных о ЗНО по результатам цитологического исследование мазка/соскоба, биопсии по показаниям";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, наличие данных за злокачественный процесс по результатам морфологического исследования (дисплазия, рак in situ, инвазивный рак)
D41.0;Сложные кисты почки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков прогрессирования по результатам УЗИ или КТ или МРТ забрюшинного пространства: оценка размеров кист и тенденции к их увеличению, наличие внутренних перегородок и увеличение их количества, накопления контраста в кистах и их капсуле, изменение градации по Bosniak;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, накопления контрастного вещества, наличие внутренних перегородок и увеличение их количества, изменение градации по Bosniak)
D30.0;Ангиомиолипома почки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие признаков прогрессирования по результатам УЗИ или КТ или МРТ забрюшинного пространства: оценка размеров и васкуляризации;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образований, накопление контрастного вещества)
D29.1;Простатическая интраэпителиальная неоплазия простаты;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие признаков прогрессирования по результатам физикального осмотра и УЗИ предстательной железы
отсутствие данных о ЗНО по результатам пункционной биопсии
уровень простатспецифического антигена <10> в сыворотке крови";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (рост образования по данным УЗИ и физикального осмотра, изменение уровня ПСА в сыворотке крови отличающиеся от референсных значений, наличие данных о ЗНО по результатам морфологического исследования пунктата)
M96;Поражения костно-мышечной системы после медицинских процедур на опорно-двигательном аппарате в связи с опухолевым и системным поражением;В соответствии с клиническими рекомендациями, но не реже чем ежеквартально в течение первого года, затем 2 раза в год;Отсутствие признаков гиперостоза или деструкции по результатам рентгенографии костей и суставов и (или) КТ и (или) МРТ костей и суставов;До 10 лет;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие признаков гиперостоза или деструкции по результатам рентгенографии костей и суставов и (или) КТ и (или) МРТ костей и суставов)
M88;Болезнь Педжета (костей) деформирующий остеит;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений костной ткани по данным рентгенографии костей и суставов и (или) КТ и (или) МРТ
отсутствие данных о ЗНО по результатам биопсии (при наличии медицинских показаний для ее проведения)";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (наличие структурных изменений костной ткани по данным рентгенографии костей и суставов и (или) КТ и (или) МРТ, наличие данных о ЗНО по результатам биопсии)
D16;Солитарные и множественные остеохондромы;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие структурных изменений костной ткани по данным рентгенографии костей и суставов и (или) КТ и (или) МРТ и (или) сцинтиграфии
отсутствие данных о ЗНО по результатам биопсии";Пожизненно при наличии неудаленных новообразований;Прием, осмотр, консультация врача-онколога по медицинским показаниям (при росте опухоли по данным осмотра и лучевых методов диагностики, появлении болевого синдрома, нарушении функции, наличие данных о ЗНО по результатам биопсии)
M85;Фиброзная дисплазия;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие структурных изменений костной ткани по данным рентгенографии костей и суставов и (или) КТ и (или) МРТ;Пожизненно при наличии неудаленных новообразований;Прием, осмотр, консультация врача-онколога по медицинским показаниям (при росте опухоли по данным осмотра и лучевых методов диагностики, появлении болевого синдрома, нарушении функции, наличие данных о ЗНО по результатам биопсии)
Q78.4;Энхондроматоз (дисхондроплазия, болезнь Оллье).;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие структурных изменений костной ткани по данным рентгенографии костей и суставов и (или) КТ и (или) МРТ;Пожизненно при наличии неудаленных новообразований;Прием, осмотр, консультация врача-онколога по медицинским показаниям (при росте опухоли по данным осмотра и лучевых методов диагностики, появлении болевого синдрома, нарушении функции, наличие данных о ЗНО по результатам биопсии)
D31;Доброкачественное новообразование глаза и его придаточного аппарата;В соответствии с клиническими рекомендациями, но не реже 2 раз в год в течение первых 2 лет диспансерного наблюдения, далее - 1 раз в год;"Отсутствие изменений при фоторегистрации переднего и заднего отрезков глаза, при ультразвуковом исследовании переднего и заднего отрезка глаза, орбиты, флюоресцентной ангиографии, оптической когерентной томографии, КТ и (или) МРТ орбит
признаки атипии по данным морфологического исследования и (или) изменения клинических параметров образования кожи века";Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения при фоторегистрации переднего и заднего отрезков глаза, при ультразвуковом исследовании переднего и заднего отрезка глаза, орбиты, флюоресцентной ангиографии, оптической когерентной томографии, КТ/МРТ орбит, признаки атипии по данным морфологического исследования и (или) изменения клинических параметров образования кожи века)
